id,Gender,Current_Annual_Salary,Department_Name,Division,Assignment_Category,Employee_Position_Title,Year_First_Hired
271,F,17793.55,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2013
272,F,97912,Fire and Rescue Services,Training,Fulltime-Regular,Community Health Nurse II,2007
273,M,53788,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,2014
274,M,93258,Non-Departmental Account,MCERP,Fulltime-Regular,Senior Investment Officer,2016
275,M,40113.28,Department of Police,FSB Animal Services Division,Fulltime-Regular,Principal Administrative Aide,2013
276,M,78096,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2007
277,F,112930.4,Department of Transportation,Transit Operations and Planning,Fulltime-Regular,Senior Planning Specialist,2005
278,F,78446.81,Department of Health and Human Services,School Health Services,Parttime-Regular,Community Health Nurse II,2012
279,M,92362,Department of Permitting Services,Fire Code Compliance,Fulltime-Regular,Program Manager II,2013
280,F,85405,Sheriff\'s Office,Warrant Section,Fulltime-Regular,Deputy Sheriff III,2002
281,F,51969,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,2015
282,M,57244.34,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Community Services Aide III,2007
283,M,44300,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2016
284,M,58657.24,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2001
285,M,69054.01,Department of Health and Human Services,Aging and Disability Resource Unit,Fulltime-Regular,Client Assistance Specialist,2000
286,M,65752,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2010
287,M,41123.09,Department of Liquor Control,Special Order Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician III,2011
288,M,43525.12,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2012
289,M,46626.87,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2008
290,M,71796.52,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Transit Operations Supervisor,2008
291,M,58944.22,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,1999
292,M,43525.13,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2013
293,M,107128.71,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Sergeant,1994
294,M,23682.83,Department of Public Libraries,Rockville Library,Parttime-Regular,Library Desk Assistant,2000
295,M,43525.72,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2013
296,F,98027.49,Department of Health and Human Services,Early Childhood Services,Fulltime-Regular,Program Manager II,2006
297,M,113316,Fire and Rescue Services,Station 19,Fulltime-Regular,Fire/Rescue Captain,1997
298,F,76566.35,Office of Agriculture,Administration,Fulltime-Regular,Administrative Specialist II,2007
299,M,89620,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,2002
300,M,99792,Fire and Rescue Services,Third Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,1999
301,F,45151.08,Department of Public Libraries,Germantown Library,Parttime-Regular,Library Assistant I,1988
302,F,104717.28,Department of Transportation,Transportation Engineering Administration,Fulltime-Regular,Management and Budget Specialist III,1984
303,M,51941.91,Department of Health and Human Services,Maternity Dental,Fulltime-Regular,Dental Assistant,2007
304,F,90738.67,Department of Environmental Protection,Water Quality Monitoring and Planning,Fulltime-Regular,Planning Specialist III,2007
305,F,51576.21,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,1999
306,M,50910,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer III,2014
307,M,40946.23,Department of Liquor Control,Potomac,Fulltime-Regular,Liquor Store Clerk II,2010
308,M,75943,Department of Police,FSB Traffic Division Alcohol Initiatives Section,Fulltime-Regular,Master Police Officer,2009
309,M,57773.8,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,2002
310,F,107657,County Council,Council Central Staff,Fulltime-Regular,Legislative Analyst II,1985
311,F,68595.41,Department of Health and Human Services,Clinical Assessment and Triage Services,Fulltime-Regular,Therapist II,2012
312,M,55328,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer III,2013
313,M,29779.06,Department of Liquor Control,Wheaton,Parttime-Regular,Liquor Store Clerk I,2013
314,F,86673.48,Department of Environmental Protection,Solid Waste Services Administration,Fulltime-Regular,Administrative Specialist II,1989
315,M,42053.83,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2014
316,F,112899,Office of Management and Budget,'Process,Production and Technology',Fulltime-Regular,Senior Management and Budget Specialist,2001
317,F,43425.63,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2004
318,M,112899,Department of Environmental Protection,Construction,Fulltime-Regular,Senior Engineer,2001
319,M,50396.48,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide III,2015
320,F,121653.95,County Attorney\'s Office,Government Operations,Fulltime-Regular,Assistant County Attorney III,1999
321,M,151424.07,County Attorney\'s Office,Finance and Procurement,Fulltime-Regular,Manager II,2012
322,M,40631.32,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2015
323,M,56231.86,Department of Recreation,East County Community Recreation Center,Fulltime-Regular,Recreation Specialist,2015
324,F,93396,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Communications Supervisor,1990
325,M,61408,Fire and Rescue Services,Station 1,Fulltime-Regular,Firefighter/Rescuer III,2013
326,M,68054,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,2012
327,M,53085.58,Department of Permitting Services,'Team 4 Commercial Electrical,Mechanical and Fire Protection Systems',Fulltime-Regular,Permit Technician III,2007
328,F,65128.02,Community Use of Public Facilities,Finance and Administrative Support Team,Fulltime-Regular,Office Services Coordinator,2000
329,M,65530,Fire and Rescue Services,Station 28,Fulltime-Regular,Firefighter/Rescuer III,2008
330,M,49949.26,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,2006
331,F,70024.58,Department of Finance,Tax Operations,Fulltime-Regular,Administrative Specialist II,2015
332,M,93396,Correction and Rehabilitation,MSD Information Technology,Fulltime-Regular,Information Technology Specialist III,2001
333,M,89222.7,Department of Liquor Control,Milestone,Fulltime-Regular,Liquor Store Manager,1989
334,M,72902,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,2007
335,M,45048.5,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2012
336,M,59638,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,2015
337,M,56580,Sheriff\'s Office,Courthouse Security,Fulltime-Regular,Deputy Sheriff III,2013
338,F,56520.51,Department of Finance,Treasury Operations,Fulltime-Regular,Office Services Coordinator,2012
339,F,69222.18,Department of Health and Human Services,Contract Team,Fulltime-Regular,Office Services Coordinator,1994
340,M,116491.69,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Manager III,2002
341,F,36797.13,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2014
342,M,51958.37,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Transit Information Systems Technician,2011
343,F,62482.02,Correction and Rehabilitation,DS Food Services,Fulltime-Regular,Correctional Dietary Officer II,2003
344,F,29779.06,Department of Liquor Control,Olney,Parttime-Regular,Liquor Store Clerk I,2012
345,M,40200,Fire and Rescue Services,Fleet Operations,Fulltime-Regular,Emergency Vehicle Mechanic Technician II,2016
346,F,55476.56,Department of Public Libraries,White Oak Library,Fulltime-Regular,Library Assistant I,1997
347,M,91969.07,Fire and Rescue Services,Field Operations Administration,Fulltime-Regular,Master Firefighter/Rescuer,1994
348,M,57650.92,Fire and Rescue Services,Fleet Operations,Fulltime-Regular,Emergency Vehicle Mechanic Technician II,2015
349,M,92756.7,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,1994
350,M,91532,Correction and Rehabilitation,Professional Standards Unit,Fulltime-Regular,Correctional Supervisor (Sergeant),1998
351,F,72902,Department of Police,ISB Criminal Investigations Division 4th District Investigative Section,Fulltime-Regular,Police Officer III,2006
352,M,40631.32,Department of Liquor Control,Liquor and Wine Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,2015
353,M,119032.41,Department of Police,PSB 4th District Station,Fulltime-Regular,Police Lieutenant,1997
354,M,86673.48,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader IV,1989
355,F,49831,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),2014
356,F,73801,Offices of the County Executive,Chief Administrative Officer\'s Office,Fulltime-Regular,Senior Executive Administrative Aide,1997
357,F,95315.03,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,2006
358,M,67452.24,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,2007
359,F,55122.12,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2004
360,M,77029,Sheriff\'s Office,Courthouse Security,Fulltime-Regular,Deputy Sheriff III,2003
361,F,56690.07,Office of Human Resources,Health and Employee Welfare Division,Fulltime-Regular,Human Resources Specialist III,2014
362,M,65766.88,Department of Liquor Control,Customer Service,Fulltime-Regular,Alcohol Beverage Purchasing Specialist,1995
363,M,89620,Department of Police,ISB Family Crimes Division Child Abuse Sexual Assault Section,Fulltime-Regular,Police Officer III,2003
364,M,59000,Department of Health and Human Services,Victim Assistance and Sexual Assault Program,Parttime-Regular,Program Manager I,2016
365,M,100006,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Sergeant,2002
366,M,42053.42,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,2014
367,F,47940.52,Department of Health and Human Services,Adult Behavioral Health Services,Fulltime-Regular,Behavioral Health Associate Counselor,2014
368,F,60403.27,Department of Health and Human Services,Area Agency on Aging Administration,Fulltime-Regular,Program Manager I,2014
369,F,46517.91,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2002
370,M,91751.37,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor III,1994
371,M,119637.66,Department of Transportation,Transportation Construction Section,Fulltime-Regular,Manager III,2008
372,F,21031.35,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,2005
373,M,49104.65,Correction and Rehabilitation,DS Food Services,Fulltime-Regular,Correctional Dietary Officer II,2008
374,F,130051.82,Department of General Services,Facilities,Fulltime-Regular,Manager II,2016
375,M,82490.06,Department of Health and Human Services,Jail Addiction Services,Fulltime-Regular,Therapist II,2007
376,F,94098.25,Department of Health and Human Services,Victim Assistance and Sexual Assault Program,Fulltime-Regular,Therapist II,1993
377,M,90883,Fire and Rescue Services,Station 30,Fulltime-Regular,Master Firefighter/Rescuer,2004
378,F,92520.57,Fire and Rescue Services,EMS Billing,Fulltime-Regular,Manager III,2007
379,M,65623,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),2003
380,M,45261,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer III,2016
381,M,63171.74,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,2007
382,M,90450,Fire and Rescue Services,Information Technology,Fulltime-Regular,Information Technology Specialist III,2016
383,M,69349.64,Department of Health and Human Services,Service Coordination and Individual Support Services,Fulltime-Regular,Program Specialist II,2007
384,F,97000,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Supervisory Therapist,1994
385,F,96092.51,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,2000
386,M,53084.69,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Transit Coordinator,2007
387,F,51574.16,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,2000
