;Gender;Current_Annual_Salary;Department_Name;Division;Assignment_Category;Employee_Position_Title;Year_First_Hired
247;M; 92.756,70 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;1988
248;M; 67.081,00 ;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2014
249;F; 44.753,00 ;Department of Police;FSB Animal Services Division;Fulltime-Regular;Program Specialist I;2016
250;M; 73.801,00 ;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Mechanic Technician II;2003
251;M; 54.742,92 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator II;2002
252;M; 122.788,02 ;Fire and Rescue Services;Station 13;Fulltime-Regular;Fire/Rescue Captain;1990
253;M; 71.835,82 ;Department of General Services;Fleet Automotive Heavy Equipment;Fulltime-Regular;Mechanic Technician II;2000
254;M; 58.455,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2013
255;F; 89.620,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2004
256;F; 130.842,19 ;Department of Health and Human Services;Disease Control;Fulltime-Regular;Manager III;2001
257;M; 23.210,03 ;Department of Public Libraries;Olney Library;Parttime-Regular;Library Assistant I;2005
258;F; 39.163,74 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2008
259;M; 54.720,83 ;Department of Liquor Control;Stock Liquor and Wine Warehouse Operations;Fulltime-Regular;Supply Technician III;1998
260;M; 93.396,00 ;Department of Recreation;MLK Indoor Pool;Fulltime-Regular;Recreation Supervisor;1994
261;M; 88.859,00 ;Fire and Rescue Services;Station 16;Fulltime-Regular;Master Firefighter/Rescuer;1998
262;M; 40.946,22 ;Department of Liquor Control;Muddy Branch;Fulltime-Regular;Liquor Store Clerk II;2012
263;M; 101.176,43 ;Fire and Rescue Services;Station 6;Fulltime-Regular;Fire/Rescue Lieutenant;1993
264;M; 103.213,43 ;Fire and Rescue Services;Station 31;Fulltime-Regular;Fire/Rescue Lieutenant;1995
265;F; 52.563,37 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2013
266;F; 50.785,50 ;Department of Health and Human Services;Income Supports;Fulltime-Regular;Income Assistance Program Specialist II;2014
267;F; 50.785,86 ;"b""Sheriff\\s Office""";Sheriff Domestic Violence;Fulltime-Regular;Client Assistance Specialist;2015
268;F; 17.793,55 ;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2013
269;F; 97.912,00 ;Fire and Rescue Services;Training;Fulltime-Regular;Community Health Nurse II;2007
270;M; 53.788,00 ;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2014
271;M; 93.258,00 ;Non-Departmental Account;MCERP;Fulltime-Regular;Senior Investment Officer;2016
272;M; 40.113,28 ;Department of Police;FSB Animal Services Division;Fulltime-Regular;Principal Administrative Aide;2013
273;M; 78.096,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2007
274;F; 112.930,40 ;Department of Transportation;Transit Operations and Planning;Fulltime-Regular;Senior Planning Specialist;2005
275;F; 78.446,81 ;Department of Health and Human Services;School Health Services;Parttime-Regular;Community Health Nurse II;2012
276;M; 92.362,00 ;Department of Permitting Services;Fire Code Compliance;Fulltime-Regular;Program Manager II;2013
277;F; 85.405,00 ;"b""Sheriff\\s Office""";Warrant Section;Fulltime-Regular;Deputy Sheriff III;2002
278;F; 51.969,00 ;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;2015
279;M; 57.244,34 ;Department of Health and Human Services;Positive Youth Development;Fulltime-Regular;Community Services Aide III;2007
280;M; 44.300,00 ;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2016
281;M; 58.657,24 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2001
282;M; 69.054,01 ;Department of Health and Human Services;Aging and Disability Resource Unit;Fulltime-Regular;Client Assistance Specialist;2000
283;M; 65.752,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2010
284;M; 41.123,09 ;Department of Liquor Control;Special Order Liquor and Wine Warehouse Operations;Fulltime-Regular;Supply Technician III;2011
285;M; 43.525,12 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2012
286;M; 46.626,87 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2008
287;M; 71.796,52 ;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Transit Operations Supervisor;2008
288;M; 58.944,22 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator I;1999
289;M; 43.525,13 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2013
290;M; 107.128,71 ;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Sergeant;1994
291;M; 23.682,83 ;Department of Public Libraries;Rockville Library;Parttime-Regular;Library Desk Assistant;2000
292;M; 43.525,72 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2013
293;F; 98.027,49 ;Department of Health and Human Services;Early Childhood Services;Fulltime-Regular;Program Manager II;2006
294;M; 113.316,00 ;Fire and Rescue Services;Station 19;Fulltime-Regular;Fire/Rescue Captain;1997
295;F; 76.566,35 ;Office of Agriculture;Administration;Fulltime-Regular;Administrative Specialist II;2007
296;M; 89.620,00 ;Department of Police;PSB 5th District Patrol;Fulltime-Regular;Police Officer III;2002
297;M; 99.792,00 ;Fire and Rescue Services;Third Battalion - Administration;Fulltime-Regular;Fire/Rescue Lieutenant;1999
298;F; 45.151,08 ;Department of Public Libraries;Germantown Library;Parttime-Regular;Library Assistant I;1988
299;F; 104.717,28 ;Department of Transportation;Transportation Engineering Administration;Fulltime-Regular;Management and Budget Specialist III;1984
300;M; 51.941,91 ;Department of Health and Human Services;Maternity Dental;Fulltime-Regular;Dental Assistant;2007
301;F; 90.738,67 ;Department of Environmental Protection;Water Quality Monitoring and Planning;Fulltime-Regular;Planning Specialist III;2007
302;F; 51.576,21 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;1999
303;M; 50.910,00 ;Fire and Rescue Services;Station 12;Fulltime-Regular;Firefighter/Rescuer III;2014
304;M; 40.946,23 ;Department of Liquor Control;Potomac;Fulltime-Regular;Liquor Store Clerk II;2010
305;M; 75.943,00 ;Department of Police;FSB Traffic Division Alcohol Initiatives Section;Fulltime-Regular;Master Police Officer;2009
306;M; 57.773,80 ;Department of Transportation;Highway Services;Fulltime-Regular;Equipment Operator II;2002
307;F; 107.657,00 ;County Council;Council Central Staff;Fulltime-Regular;Legislative Analyst II;1985
308;F; 68.595,41 ;Department of Health and Human Services;Clinical Assessment and Triage Services;Fulltime-Regular;Therapist II;2012
309;M; 55.328,00 ;Fire and Rescue Services;Station 23;Fulltime-Regular;Firefighter/Rescuer III;2013
310;M; 29.779,06 ;Department of Liquor Control;Wheaton;Parttime-Regular;Liquor Store Clerk I;2013
311;F; 86.673,48 ;Department of Environmental Protection;Solid Waste Services Administration;Fulltime-Regular;Administrative Specialist II;1989
312;M; 42.053,83 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2014
313;F; 112.899,00 ;Office of Management and Budget;Process, Production and Technology;Fulltime-Regular;Senior Management and Budget Specialist;2001
314;F; 43.425,63 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2004
315;M; 112.899,00 ;Department of Environmental Protection;Construction;Fulltime-Regular;Senior Engineer;2001
316;M; 50.396,48 ;County Council;Council Members and Staff;Fulltime-Regular;Legislative Senior Aide III;2015
317;F; 121.653,95 ;"b""County Attorney\\s Office""";Government Operations;Fulltime-Regular;Assistant County Attorney III;1999
318;M; 151.424,07 ;"b""County Attorney\\s Office""";Finance and Procurement;Fulltime-Regular;Manager II;2012
319;M; 40.631,32 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2015
320;M; 56.231,86 ;Department of Recreation;East County Community Recreation Center;Fulltime-Regular;Recreation Specialist;2015
321;F; 93.396,00 ;Department of Police;MSB Communications Division;Fulltime-Regular;Public Safety Emergency Communications Supervisor;1990
322;M; 61.408,00 ;Fire and Rescue Services;Station 1;Fulltime-Regular;Firefighter/Rescuer III;2013
323;M; 68.054,00 ;Department of Police;PSB 3rd District Patrol;Fulltime-Regular;Police Officer III;2012
324;M; 53.085,58 ;Department of Permitting Services;Team 4 Commercial Electrical, Mechanical and Fire Protection Systems;Fulltime-Regular;Permit Technician III;2007
325;F; 65.128,02 ;Community Use of Public Facilities;Finance and Administrative Support Team;Fulltime-Regular;Office Services Coordinator;2000
326;M; 65.530,00 ;Fire and Rescue Services;Station 28;Fulltime-Regular;Firefighter/Rescuer III;2008
327;M; 49.949,26 ;Department of Transportation;Transit Silver Spring Ride On;Fulltime-Regular;Bus Operator;2006
328;F; 70.024,58 ;Department of Finance;Tax Operations;Fulltime-Regular;Administrative Specialist II;2015
329;M; 93.396,00 ;Correction and Rehabilitation;MSD Information Technology;Fulltime-Regular;Information Technology Specialist III;2001
330;M; 89.222,70 ;Department of Liquor Control;Milestone;Fulltime-Regular;Liquor Store Manager;1989
331;M; 72.902,00 ;Department of Police;PSB 6th District Special Assignment Team;Fulltime-Regular;Police Officer III;2007
332;M; 45.048,50 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2012
333;M; 59.638,00 ;Department of Police;PSB 4th District Patrol;Fulltime-Regular;Police Officer III;2015
334;M; 56.580,00 ;"b""Sheriff\\s Office""";Courthouse Security;Fulltime-Regular;Deputy Sheriff III;2013
335;F; 56.520,51 ;Department of Finance;Treasury Operations;Fulltime-Regular;Office Services Coordinator;2012
336;F; 69.222,18 ;Department of Health and Human Services;Contract Team;Fulltime-Regular;Office Services Coordinator;1994
337;M; 116.491,69 ;Department of General Services;Fleet Management Fleet Services;Fulltime-Regular;Manager III;2002
338;F; 36.797,13 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2014
339;M; 51.958,37 ;Department of Transportation;Transit Nicholson Ride On;Fulltime-Regular;Transit Information Systems Technician;2011
340;F; 62.482,02 ;Correction and Rehabilitation;DS Food Services;Fulltime-Regular;Correctional Dietary Officer II;2003
341;F; 29.779,06 ;Department of Liquor Control;Olney;Parttime-Regular;Liquor Store Clerk I;2012
342;M; 40.200,00 ;Fire and Rescue Services;Fleet Operations;Fulltime-Regular;Emergency Vehicle Mechanic Technician II;2016
343;F; 55.476,56 ;Department of Public Libraries;White Oak Library;Fulltime-Regular;Library Assistant I;1997
344;M; 91.969,07 ;Fire and Rescue Services;Field Operations Administration;Fulltime-Regular;Master Firefighter/Rescuer;1994
345;M; 57.650,92 ;Fire and Rescue Services;Fleet Operations;Fulltime-Regular;Emergency Vehicle Mechanic Technician II;2015
346;M; 92.756,70 ;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Officer III;1994
347;M; 91.532,00 ;Correction and Rehabilitation;Professional Standards Unit;Fulltime-Regular;Correctional Supervisor (Sergeant);1998
348;F; 72.902,00 ;Department of Police;ISB Criminal Investigations Division 4th District Investigative Section;Fulltime-Regular;Police Officer III;2006
349;M; 40.631,32 ;Department of Liquor Control;Liquor and Wine Delivery Operations;Fulltime-Regular;Truck Driver/Warehouse Worker;2015
350;M; 119.032,41 ;Department of Police;PSB 4th District Station;Fulltime-Regular;Police Lieutenant;1997
351;M; 86.673,48 ;Department of Transportation;Highway Services;Fulltime-Regular;Work Force Leader IV;1989
352;F; 49.831,00 ;Correction and Rehabilitation;DS MCDC Custody and Security;Fulltime-Regular;Correctional Officer III (Corporal);2014
353;F; 73.801,00 ;Offices of the County Executive;"b""Chief Administrative Officer\\s Office""";Fulltime-Regular;Senior Executive Administrative Aide;1997
354;F; 95.315,03 ;Department of Health and Human Services;School Health Services;Fulltime-Regular;Community Health Nurse II;2006
355;M; 67.452,24 ;Correction and Rehabilitation;PRRS Facility and Security;Fulltime-Regular;Resident Supervisor II;2007
356;F; 55.122,12 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2004
357;M; 77.029,00 ;"b""Sheriff\\s Office""";Courthouse Security;Fulltime-Regular;Deputy Sheriff III;2003
358;F; 56.690,07 ;Office of Human Resources;Health and Employee Welfare Division;Fulltime-Regular;Human Resources Specialist III;2014
359;M; 65.766,88 ;Department of Liquor Control;Customer Service;Fulltime-Regular;Alcohol Beverage Purchasing Specialist;1995
360;M; 89.620,00 ;Department of Police;ISB Family Crimes Division Child Abuse Sexual Assault Section;Fulltime-Regular;Police Officer III;2003
361;M; 59.000,00 ;Department of Health and Human Services;Victim Assistance and Sexual Assault Program;Parttime-Regular;Program Manager I;2016
362;M; 100.006,00 ;Department of Police;PSB 2nd District Patrol;Fulltime-Regular;Police Sergeant;2002
363;M; 42.053,42 ;Department of Transportation;Transit Gaithersburg Ride On;Fulltime-Regular;Bus Operator;2014
364;F; 47.940,52 ;Department of Health and Human Services;Adult Behavioral Health Services;Fulltime-Regular;Behavioral Health Associate Counselor;2014
365;F; 60.403,27 ;Department of Health and Human Services;Area Agency on Aging Administration;Fulltime-Regular;Program Manager I;2014
366;F; 46.517,91 ;Department of Health and Human Services;School Health Services;Parttime-Regular;School Health Room Technician I;2002
367;M; 91.751,37 ;Correction and Rehabilitation;PRRS Facility and Security;Fulltime-Regular;Resident Supervisor III;1994
368;M; 119.637,66 ;Department of Transportation;Transportation Construction Section;Fulltime-Regular;Manager III;2008
369;F; 21.031,35 ;Department of Police;FSB Traffic Division School Safety Section;Parttime-Regular;Crossing Guard;2005
370;M; 49.104,65 ;Correction and Rehabilitation;DS Food Services;Fulltime-Regular;Correctional Dietary Officer II;2008
371;F; 130.051,82 ;Department of General Services;Facilities;Fulltime-Regular;Manager II;2016
372;M; 82.490,06 ;Department of Health and Human Services;Jail Addiction Services;Fulltime-Regular;Therapist II;2007
373;F; 94.098,25 ;Department of Health and Human Services;Victim Assistance and Sexual Assault Program;Fulltime-Regular;Therapist II;1993
